Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Eritrea	ERI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	39.44100235	41.30301993	45.6984621	47.89397568	54.22960429	58.51930346	50.55481584	53.29678466	50.69557572	55.47415533	59.75700478	62.32837961	60.90255513	60.97242963	57.04944219	58.98878298	57.17477241	60.32015152	61.94714451	64.13852133	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Estonia	EST	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5755.894502	5617.063576	4933.823237	4049.853828	4354.830108	4244.644078	4556.391169	4811.598138	4733.954908	4460.368108	4540.492561	4680.447946	4767.462935	5158.602778	5429.525522	5531.545829	5869.424789	6277.411463	6364.56783	5975.953811	6506.318181	6314.414448	6689.367776	6664.658569	6732.367473	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Eswatini	SWZ	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Ethiopia	ETH	..	..	..	..	..	..	..	..	..	..	..	18.87488777	18.71728209	17.75980524	17.01635592	16.48917467	16.01960196	15.01975321	15.70374068	17.23030084	18.00657413	18.88135554	19.60317149	20.37304455	21.30631443	19.82826468	19.82396791	20.25600137	19.22902985	18.64012617	22.50111029	21.83814431	21.62726567	23.25670191	23.56077109	23.9749237	24.39348136	23.82887164	23.69647453	22.89602048	22.64893974	26.440945	26.10033035	28.47881865	30.62000963	33.36501141	37.31102464	39.40720843	40.86078515	42.06459396	48.26534928	52.60600393	57.3859796	64.3918912	69.71577388	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Faroe Islands	FRO	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Fiji	FJI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Finland	FIN	1873.292466	2187.623641	2389.209882	2479.15851	2715.375011	2938.384638	3197.864859	3345.387846	3628.685289	4071.556095	4570.906802	4889.504272	5516.140525	6046.830306	6140.186681	5946.377328	6545.746799	6726.663687	7330.414466	7930.631374	8295.786096	8493.605369	8533.161741	9124.164631	9808.466257	10482.83161	10622.88818	11358.39475	11778.27227	12034.75727	12485.68365	12470.73043	12514.10157	13012.66943	13603.27636	13591.39667	13721.92376	14454.93873	14846.42082	15075.86719	15305.40981	15709.88325	16140.06697	16445.57256	16777.56585	16117.89033	17215.03729	17160.86312	16349.23333	15243.11039	16484.09428	15710.97376	15689.22331	15510.8355	15249.98938	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	France	FRA	1456.693612	1543.711337	1646.832461	1743.229199	1888.496005	1980.158474	2088.292997	2180.791624	2263.220177	2467.317838	2623.018176	2746.166994	2920.454203	3148.952465	3247.664322	3235.311932	3573.426199	3670.701631	3914.429968	4187.729231	4407.653654	4567.747345	4606.907708	4699.509676	4933.012334	5246.401989	5494.945092	5634.210191	5717.290639	5836.01291	5940.750613	6359.774281	6475.787918	6453.000442	6530.411889	6621.941971	6905.164753	6833.136298	7015.501604	7149.296925	7224.526985	7342.256675	7299.24846	7529.550299	7661.49118	7652.864304	7540.295298	7513.57933	7643.44985	7338.041898	7734.726783	7232.980234	7363.426038	7367.846559	6939.522311	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	French Polynesia	PYF	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Gabon	GAB	..	..	..	..	..	..	..	..	..	..	..	186.1296825	213.660228	259.3572743	298.4155704	383.2443714	488.1208852	646.7542952	621.8225157	725.1947555	721.3790134	789.2058048	860.6581427	918.6633512	973.9098583	1026.400911	1029.275744	1006.998813	995.0546781	832.0544947	916.8126426	904.7016887	883.8670377	865.726163	765.1160001	770.6210174	848.2990034	856.1493937	917.8432136	901.9190138	878.0608258	896.8048554	921.6561381	930.6205794	908.9542994	907.9726268	935.7411596	958.9086169	970.4434556	932.0915529	948.0493351	959.8721585	984.7354619	1079.640846	1172.887323	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Gambia, The	GMB	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Georgia	GEO	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3039.150354	2696.705887	2125.166718	1936.836961	1978.15534	1468.314322	1119.776435	1278.135758	1435.384307	1460.078608	1452.821221	1449.252234	1509.754418	1607.765636	1678.680801	1784.9642	1659.816248	1730.524253	1796.774194	1757.667169	1976.821192	2219.096774	2271.372549	2459.745763	2688.489402	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Germany	DEU	1586.749415	1683.414913	1790.686877	1916.927528	2060.547354	2194.206061	2300.499798	2362.908943	2579.749915	2815.221348	3834.178407	4064.454716	4335.769625	4654.985048	4803.423204	4743.944833	5146.932578	5285.260786	5574.745217	5786.127216	5797.499753	5832.064871	5822.027359	5965.458193	6239.971816	6448.539859	6530.238714	6666.219595	6776.307912	6835.329908	6639.731691	6564.797195	6445.874	6288.41635	6244.957228	6327.709754	6403.333726	6427.798768	6479.490249	6505.132999	6635.421406	6762.653396	6900.780527	7009.726492	7108.962524	7138.221485	7212.437448	7229.089913	7187.764009	6817.158398	7264.322591	7281.272174	7270.152523	7217.529089	7035.482975	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Ghana	GHA	..	..	..	..	..	..	..	..	..	..	..	313.1204847	346.8899298	392.2948081	399.5095518	377.3620602	390.7827547	401.4763653	331.160397	399.6862032	425.9385367	418.4354454	376.6504244	165.6140646	93.4924237	163.8064369	259.304277	288.6197478	305.0335443	308.8407274	326.764769	339.7716176	355.2154592	340.5166644	340.902675	354.8230488	367.6331963	393.3825859	275.1643418	361.0315013	332.0174782	337.7681711	310.9233938	221.1594959	219.8552443	245.8452227	296.7428157	244.0946366	264.2643519	263.0122343	280.5144756	318.4883756	345.7033016	379.6745123	354.714053	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Gibraltar	GIB	..	..	..	..	..	..	..	..	..	..	..	1558.765458	1546.179219	1605.300909	1563.190267	1656.636689	1681.124336	1638.686375	1630.669906	1723.16665	1717.758985	1780.180655	1876.172608	1941.875391	1945.589448	2019.399477	2099.720037	2084.454008	2239.641657	2631.399084	2537.374846	2978.228125	3267.640151	3375.755325	3445.392206	3482.933625	3521.822132	3530.103942	3636.245576	3743.022168	3880.692752	3888.570154	3962.718742	4098.360656	4138.449962	4394.576905	4520.683676	4613.964934	4918.733961	5128.049521	5182.439965	4969.315971	5085.80436	5409.240046	5640.754451	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Greece	GRC	241.7266532	272.5632736	305.3893045	342.1141855	407.970033	475.4200801	625.2865365	742.2771395	802.7901448	917.6127387	1023.791495	1198.273906	1360.952444	1547.974787	1562.259053	1655.770974	1802.865648	1895.046441	2100.963535	2180.607185	2247.445036	2263.768905	2270.490881	2424.586612	2561.692581	2666.317707	2724.231939	2859.129882	3097.544352	3205.114863	3221.40532	3253.220687	3398.383758	3459.422977	3598.523798	3708.997588	3832.66722	3989.116107	4175.734566	4316.32629	4586.32987	4719.147217	4909.639698	5091.292424	5200.024354	5297.200025	5434.576469	5701.330854	5805.192546	5627.883706	5333.439556	5389.333122	5534.897159	5028.995794	5062.606422	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Greenland	GRL	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Grenada	GRD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Guam	GUM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Guatemala	GTM	..	..	..	..	..	..	..	..	..	..	..	119.3672498	137.5058129	144.974306	122.3537805	161.8035453	192.9017607	203.6799558	208.25203	214.602995	251.8034357	211.88007	184.981513	159.5418244	164.2443015	172.935634	144.2181669	165.0633376	162.8484915	186.5097539	200.4574142	206.4688657	256.4751213	243.0903382	266.4098384	295.6240815	259.2358891	240.5481301	314.6359802	363.1269241	330.4510279	357.9890425	363.0154131	450.7827621	482.5377972	480.6800963	533.0294645	543.4923037	530.5444681	537.7820719	541.9531104	534.5537025	532.6416195	558.4047513	577.8858859	..	..	..	..
